,Unnamed: 0,email_hash,category,filename
0,0,b9f6f22276c919da793da65c76345ebb0b072257d12402107d09c89bc369a6b6,Satchels,accessories.csv
1,1,c2b5fa9e09ef2464a2b9ed7e351a5e1499823083c057913c6995fdf4335c73e7,Purses,accessories.csv
2,2,faaee0ff7d06b05313ecb75d46a9aed014b11023ca1af5ec21a0607848071d18,Purses,accessories.csv
3,3,5cd72da5035f2b36b604a16efc639cd04b6cfae7e487dcba60db88d3ef870f1e,Wallets,accessories.csv
4,4,00449a86bb34e443a5f84635661f63514574a030a15e2e57b81b2c3f4fa49650,Purses,accessories.csv
5,5,b6161d458c4cc28331291235d05b3e458918d2ed21abfc4b86e4bac047b5553c,Satchels,accessories.csv
6,6,e088d5dbbca4c61e870dd32e2584623da88870327f060bd0d27465136366f353,Satchels,accessories.csv
7,7,4727745894cc3d99632c89a64067f69327913989cddb9e2de5793d4de12ef4ef,Purses,accessories.csv
8,8,1ed6083eb9dc193dcd42466b57adce9f581cd70207426a37036a5dda3b3ad55a,Purses,accessories.csv
9,9,2c3d6ecd8ee8dec11e97c6ca5fb4390ab6b2a48c7f0983f49e80544320878246,Purses,accessories.csv
10,10,4a4bfb8d5cd78831438ec6b6a113e35af90c5c5a762fd12af8364b502a09bfc4,Wallets,accessories.csv
11,11,bf3d5f4e627c28d67aba0af8df51ab84209d0cdc99b00a5974e9f6f45e865c1a,Satchels,accessories.csv
12,12,8eed1ebcdb88ce0d8f397d8d1fba5de0e224a2294ce1b1ed1e5d04b771d30d4b,Satchels,accessories.csv
13,13,20e17b8b2f9d71804192111f3bc7cc7117f36a5ebfdb0c309fb5886fbcb47cf3,Purses,accessories.csv
14,14,4fdd4c60b532053452217587f014b86e6c4dabd531552d75f3d6de7784f52eff,Satchels,accessories.csv
15,15,e8cee956c334047056a8820065cd5c1d2575a3285a2b09ff237752882932eafd,Wallets,accessories.csv
16,16,8d0eb06f13e26fa3fb1c5f1d7945d544659ad312ebf35f55e0ceb74573468775,Purses,accessories.csv
17,17,b96c858a8206db09ab13066ee53f24892d2c72b8db7fc0f66db09057e6879d8c,Watches,accessories.csv
18,18,2d945909f4fc18d5f124d1b88e5ee661e1b7e9e9dbcd106a61a40053609b7a93,Purses,accessories.csv
19,19,4a95e65a45fbb0174634d5568c8e4e25db629cc3c30bfb3a7c5da27826db531e,Purses,accessories.csv
20,20,fbbeb4a38beb0a28adc7d26eb8c83868ee1302cbc696fa34213ee4227854fcfd,Satchels,accessories.csv
21,21,c5d8f8c5a67e3062474f266ba5ad233ce192d789a4ddf666afc29f4ab1367b65,Watches,accessories.csv
22,22,f39abbf2ea544d4e2f11b1e746e53f723795b33c96ee32cd2fb5348bac94932f,Watches,accessories.csv
